Domain,Phylum,Class,Order,Family,Genus,best_hit
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 246:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 247:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 248:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 249:Esherichica/Shigella
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 250:Esherichica/Shigella
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,ASV 251:Massilia
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 252:Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,ASV 253:Brevibacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 254:Pantoea
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,ASV 255:Sphingomonas
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ASV 256:Paenibacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 257:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 259:Pseudomonas
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ASV 260:Paenibacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,ASV 261:Brevibacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ASV 262:Paenibacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 263:Bacillus
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,ASV 264:Massilia
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 265:Pantoea
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 266:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 267:Pseudomonas
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,ASV 268:Pantoea
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,ASV 269:Paenibacillus
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rathayibacter,ASV 270:Rathayibacter
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Esherichica/Shigella,ASV 271:Esherichica/Shigella
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 272:Bacillus
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,ASV 273:Bacillus
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,ASV 274:Pseudomonas
