"AverageShortestPathLength","BetweennessCentrality","Class","Class_mod","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","Hub","IsSingleNode","label","mv","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","RA","Radiality","selected","SelfLoops","shared name","Species","Stress","TopologicalCoefficient"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1608_Acidibacter","0","ASV1608_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1608_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1609_Acidibacter","0","ASV1609_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1609_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1610_Acidibacter","0","ASV1610_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1610_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1611_Acidibacter","0","ASV1611_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1611_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1612_Acidibacter","0","ASV1612_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1612_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","Acidibacter","","true","ASV1613_Acidibacter","0","ASV1613_Acidibacter","0.0","0","0","Gammaproteobacteria_Incertae_Sedis","0","Proteobacteria",,"Infinity","false","0","ASV1613_Acidibacter","Acidibacter","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","R7C24","R7C24","","true","ASV1614_R7C24","0","ASV1614_R7C24","0.0","0","0","R7C24","0","Proteobacteria",,"Infinity","false","0","ASV1614_R7C24","R7C24","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","R7C24","R7C24","","true","ASV1615_R7C24","0","ASV1615_R7C24","0.0","0","0","R7C24","0","Proteobacteria",,"Infinity","false","0","ASV1615_R7C24","R7C24","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","R7C24","R7C24","","true","ASV1616_R7C24","0","ASV1616_R7C24","0.0","0","0","R7C24","0","Proteobacteria",,"Infinity","false","0","ASV1616_R7C24","R7C24","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","R7C24","R7C24","","true","ASV1617_R7C24","0","ASV1617_R7C24","0.0","0","0","R7C24","0","Proteobacteria",,"Infinity","false","0","ASV1617_R7C24","R7C24","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","R7C24","R7C24","","true","ASV1618_R7C24","0","ASV1618_R7C24","0.0","0","0","R7C24","0","Proteobacteria",,"Infinity","false","0","ASV1618_R7C24","R7C24","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Paracaedibacteraceae","Candidatus_Captivus","","true","ASV1619_Candidatus_Captivus","0","ASV1619_Candidatus_Captivus","0.0","0","0","Paracaedibacterales","0","Proteobacteria",,"Infinity","false","0","ASV1619_Candidatus_Captivus","Candidatus_Captivus","0","0.0"
"0.0","0.0","Alphaproteobacteria","","0.0","0.0","0","0","Paracaedibacteraceae","Candidatus_Captivus","","true","ASV1620_Candidatus_Captivus","0","ASV1620_Candidatus_Captivus","0.0","0","0","Paracaedibacterales","0","Proteobacteria",,"Infinity","false","0","ASV1620_Candidatus_Captivus","Candidatus_Captivus","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Cardiobacteriaceae","Cardiobacterium","","true","ASV1621_Cardiobacterium","0","ASV1621_Cardiobacterium","0.0","0","0","Cardiobacteriales","0","Proteobacteria",,"Infinity","false","0","ASV1621_Cardiobacterium","Cardiobacterium","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Cardiobacteriaceae","Cardiobacterium","","true","ASV1622_Cardiobacterium","0","ASV1622_Cardiobacterium","0.0","0","0","Cardiobacteriales","0","Proteobacteria",,"Infinity","false","0","ASV1622_Cardiobacterium","Cardiobacterium","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Methylomonadaceae","Methylosarcina","","true","ASV1623_Methylosarcina","0","ASV1623_Methylosarcina","0.0","0","0","Methylococcales","0","Proteobacteria",,"Infinity","false","0","ASV1623_Methylosarcina","Methylosarcina","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Acidithiobacillaceae","KCM-B-112","","true","ASV1624_KCM-B-112","0","ASV1624_KCM-B-112","0.0","0","0","Acidithiobacillales","0","Proteobacteria",,"Infinity","false","0","ASV1624_KCM-B-112","KCM-B-112","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Acidithiobacillaceae","KCM-B-112","","true","ASV1625_KCM-B-112","0","ASV1625_KCM-B-112","0.0","0","0","Acidithiobacillales","0","Proteobacteria",,"Infinity","false","0","ASV1625_KCM-B-112","KCM-B-112","0","0.0"
"0.0","0.0","Gammaproteobacteria","","0.0","0.0","0","0","Acidithiobacillaceae","KCM-B-112","","true","ASV1626_KCM-B-112","0","ASV1626_KCM-B-112","0.0","0","0","Acidithiobacillales","0","Proteobacteria",,"Infinity","false","0","ASV1626_KCM-B-112","KCM-B-112","0","0.0"
"5.18","0.0","Gammaproteobacteria","Gammaproteobacteria","0.19305019305019305","0.0","1","10","Acidithiobacillaceae","KCM-B-112","","false","ASV1627_KCM-B-112","0","ASV1627_KCM-B-112","4.0","0","1","Acidithiobacillales","0","Proteobacteria",,"0.7213333333333334","false","0","ASV1627_KCM-B-112","KCM-B-112","0","0.0"
